SpeciesCat_ISSCAAP_code,Species_AFSIS,CommName,Family,Order
55,Atrina spp,Pen shells nei,Pinnidae,BIVALVIA
33,Ophichthidae,Snake eels nei,Ophichthidae,ANGUILLIFORMES
,Sulidae,Boobies and gannets nei,Sulidae,CICONIIFORMES
33,Kyphosidae,Sea chubs nei,Kyphosidae,PERCOIDEI
33,Caesionidae,Fusiliers nei,Caesionidae,PERCOIDEI
47,Copepoda,Copepods,,COPEPODA
,Larus spp,Seagulls nei,Laridae,CHARADRIIFORMES
34,Stomias spp,,Stomiidae,STOMIIFORMES
34,Serrivomer spp,Sawtooth eels nei,Serrivomeridae,ANGUILLIFORMES
38,Centroscymnus spp,,Squalidae,SQUALIFORMES
34,Caristius spp,Manefishes nei,Caristiidae,PERCOIDEI
35,Dussumieria spp,Rainbow sardines nei,Clupeidae,CLUPEIFORMES
34,Aphanopus spp,,Trichiuridae,SCOMBROIDEI
34,Rexea spp,,Gempylidae,SCOMBROIDEI
37,Nomeus spp,,Nomeidae,"STROMATEOIDEI, ANABANTOIDEI"
33,Syngnathus spp,Pipefishes nei,Syngnathidae,SYNGNATHIFORMES
33,Dactylopteridae,Flying gurnards nei,Dactylopteridae,SCORPAENIFORMES
34,Paralepididae,"Barracudinas, etc. nei",Paralepididae,AULOPIFORMES
38,Elasmobranchii,Deep-water sharks nei,,PISCES MISCELLANEA
42,Charybdis spp,Charybdis crabs nei,Portunidae,BRACHYURA
82,Cnidaria,Cnidarians nei,,CNIDARIA
,Sterna spp,Terns nei,Laridae,CHARADRIIFORMES
,Puffinus spp,Shearwaters nei,Procellariidae,PROCELLARIIFORMES
33,Lagocephalus spp,,Tetraodontidae,TETRAODONTIFORMES
33,Bodianus spp,,Labridae,PERCOIDEI
33,Oplegnathus spp,,Oplegnathidae,PERCOIDEI
34,Hoplichthys spp,,Hoplichthyidae,SCORPAENIFORMES
32,Physiculus spp,,Moridae,GADIFORMES
38,Chimaera spp,,Chimaeridae,CHIMAERIFORMES
38,Urolophus spp,,Urolophidae,RAJIFORMES
38,Asymbolus spp,,Scyliorhinidae,CARCHARHINIFORMES
36,Sarda spp,Bonitos nei,Scombridae,SCOMBROIDEI
57,Alloteuthis spp,Alloteuthis squids nei,Loliginidae,CEPHALOPODA
31,Cynoglossus spp,Tonguesole nei,Cynoglossidae,PLEURONECTIFORMES
